Week,winner,home_win,loser,w_score,l_score,w_yards,w_turnovers,l_yards,l_turnovers,winner_penalty_yds ,loser_penalty_yds,winner_top,loser_top
1,eagles,1,Falcons,18,12,232,2,299,1,101,135,1930,1670
1,buccaneers,0,Saints,48,40,529,0,475,2,78,100,2114,1486
1,vikings,1,49ers,24,16,343,1,327,4,119,43,1771,1829
1,dolphins,1,Titans,27,20,342,2,336,3,70,77,1929,1671
1,jaguars,0,Giants,20,15,305,1,324,2,36,44,1870,1730
1,steelers,0,Browns,21,21,472,6,327,1,52,21,1869,1731
1,patriots,1,Texans,27,20,389,3,325,2,51,48,1825,1775
1,bengals,0,Colts,34,23,330,2,380,2,94,91,1632,1968
1,ravens,1,Bills,47,3,369,1,153,2,87,116,2088,2112
1,chiefs,0,Chargers,38,28,362,0,541,2,50,45,1534,2066
1,panthers,1,Cowboys,16,8,293,1,232,1,60,45,2108,1492
1,redskins,0,Cardinals,24,6,429,1,213,2,80,85,1836,1764
1,broncos,1,Seahawks,27,24,470,3,306,3,63,67,2288,1312
1,packers,1,Bears,24,23,370,2,294,1,72,35,1598,2002
1,jets,0,Lions,48,17,349,2,339,5,49,15,1987,1613
1,rams,0,Raiders,33,13,365,0,395,3,70,155,1709,1891
2,bengals,1,Ravens,34,23,373,0,425,3,92,51,1910,1690
2,saints,1,Browns,21,18,275,2,327,1,26,49,1782,1818
2,titans,1,Texans,20,17,283,0,437,1,26,90,1600,2000
2,colts,0,Redskins,21,9,281,2,334,1,70,88,1822,1778
2,chargers,0,Bills,31,20,349,0,293,2,44,55,1461,2139
2,vikings,0,Packers,29,29,480,1,351,0,76,90,1669,1931
2,buccaneers,1,Eagles,27,21,436,2,412,2,10,50,1705,1895
2,falcons,1,Panthers,31,24,442,1,439,1,45,31,1982,1618
2,chiefs,0,Steelers,42,37,449,1,475,0,54,70,2288,1912
2,dolphins,0,Jets,20,12,257,2,362,3,53,43,1961,1639
2,49ers,1,Lions,30,27,346,0,427,1,86,105,1774,1826
2,rams,1,Cardinals,34,0,432,1,137,1,49,47,2048,1552
2,broncos,1,Raiders,20,19,385,1,373,0,71,25,1846,1754
2,jaguars,1,Patriots,31,20,480,2,302,1,35,30,1624,1976
2,cowboys,1,Giants,20,13,298,0,255,1,47,24,1668,1932
2,bears,1,Seahawks,24,17,271,2,276,2,55,37,2064,1536
3,browns,1,Jets,21,17,323,0,268,3,41,55,1852,1748
3,saints,0,Falcons,43,37,534,0,407,0,120,54,2265,1760
3,chiefs,1,49ers,38,27,384,0,406,0,66,115,1745,1855
3,dolphins,1,Raiders,28,20,373,0,434,2,110,77,2412,1188
3,titans,0,Jaguars,9,6,233,0,232,1,84,59,2145,1455
3,ravens,1,Broncos,27,14,342,0,293,1,74,38,1289,2311
3,giants,0,Texans,27,22,379,0,427,2,52,120,1814,1786
3,eagles,1,Colts,20,16,379,2,209,0,17,36,2035,1565
3,Bills,0,Vikings,27,6,292,0,292,3,20,50,2130,1470
3,Redskins,1,Packers,31,17,386,1,340,1,30,75,1967,1633
3,Panthers,1,Bengals,31,21,377,0,396,4,48,147,1801,1799
3,Rams,1,Chargers,35,23,521,2,356,2,64,30,2056,1544
3,Seahawks,1,Cowboys,24,13,295,0,303,3,67,55,1964,1636
3,Bears,0,Cardinals,16,14,316,2,221,4,45,43,2181,1419
3,Lions,1,Patriots,26,10,414,1,209,1,70,38,2355,1245
3,Steelers,0,Buccaneers,30,27,413,1,455,4,155,80,1821,1779
4,Rams,1,Vikings,38,31,556,0,446,1,15,35,1666,1934
4,Cowboys,1,Lions,26,24,414,0,382,0,89,43,2255,1345
4,Bears,1,Buccaneers,48,10,483,0,311,3,57,89,2182,1418
4,Titans,1,Eagles,26,23,397,1,432,1,30,77,2130,2065
4,Bengals,0,Falcons,37,36,407,1,495,0,54,85,2404,1796
4,Patriots,1,Dolphins,38,7,449,2,172,2,60,20,2077,1523
4,Jaguars,1,Jets,31,12,503,3,178,0,20,58,1805,1795
4,Texans,0,Colts,37,34,466,1,478,2,38,99,1686,1914
4,Packers,1,Bills,22,0,423,2,145,3,55,95,1838,1762
4,Seahawks,0,Cardinals,20,17,331,0,263,1,57,38,1906,1694
4,Raiders,1,Browns,45,42,565,2,487,4,65,55,2211,1883
4,Saints,0,Giants,33,18,389,0,299,2,51,67,1860,1740
4,Chargers,1,49ers,29,27,368,1,364,2,49,29,1946,1654
4,Ravens,0,Steelers,26,14,451,1,284,2,50,40,2103,1497
4,Chiefs,0,Broncos,27,23,446,0,385,1,93,25,2102,1498
5,Patriots,1,Colts,38,24,438,2,439,3,50,35,1654,1946
5,Panthers,1,Giants,33,31,350,2,432,3,30,40,2029,1571
5,Bills,1,Titans,13,12,223,1,221,3,58,75,1748,1852
5,Lions,1,Packers,31,23,264,0,521,3,33,45,1734,1866
5,Bengals,1,Dolphins,27,17,332,1,297,3,105,45,1963,1637
5,Steelers,1,Falcons,41,17,381,1,324,1,71,112,1600,2000
5,Chiefs,1,Jaguars,30,14,424,2,502,5,66,41,2176,2022
5,Browns,1,Ravens,12,9,416,1,410,2,22,62,2127,1473
5,Jets,1,Broncos,34,16,512,2,436,1,47,85,1835,1765
5,Chargers,1,Raiders,26,10,412,0,289,2,82,55,2080,1520
5,Vikings,0,Eagles,23,21,375,1,364,2,46,65,1188,2412
5,Cardinals,0,49ers,28,18,220,0,447,5,23,52,1967,1633
5,Rams,0,Seahawks,33,31,468,2,373,0,45,50,1770,1830
5,Texans,1,Cowboys,19,16,462,2,292,2,25,72,2198,1892
5,Saints,1,Redskins,43,19,447,1,283,2,45,38,1997,1603
6,Eagles,0,Giants,34,13,379,0,401,1,25,61,1950,1650
6,Redskins,1,Panthers,23,17,288,0,350,3,30,20,1899,1701
6,Dolphins,1,Bears,31,28,541,3,467,3,43,55,2124,1476
6,Chargers,0,Browns,38,14,449,1,317,2,64,38,1886,1714
6,Jets,1,Colts,42,34,374,2,428,4,49,66,2222,1378
6,Texans,1,Bills,20,13,216,3,229,3,52,30,2062,1538
6,Seahawks,0,Raiders,27,3,369,1,185,2,69,30,2096,1504
6,Steelers,0,Bengals,28,21,481,0,275,0,72,53,1897,1703
6,Vikings,1,Cardinals,27,17,411,2,268,2,50,104,1620,1980
6,Falcons,1,Buccaneers,34,29,417,0,510,2,67,58,2195,2005
6,Rams,0,Broncos,23,20,444,1,357,1,81,61,2110,1490
6,Ravens,0,Titans,21,0,361,1,106,0,70,35,2254,1346
6,Cowboys,1,Jaguars,40,7,378,0,204,2,25,30,2330,1270
6,Patriots,1,Chiefs,43,40,500,1,446,2,0,58,2169,1431
6,Packers,1,49ers,33,30,521,0,401,3,54,10,1868,1732
7,Broncos,0,Cardinals,45,10,309,1,223,5,50,45,1849,1751
7,Chargers,1,Titans,20,19,344,0,390,1,31,32,1477,2123
7,Panthers,0,Eagles,21,17,371,0,342,1,35,15,1775,1825
7,Lions,0,Dolphins,32,21,457,0,322,0,78,35,1483,2117
7,Patriots,0,Bears,38,31,381,3,453,2,55,71,1931,1669
7,Vikings,0,Jets,37,17,316,0,263,4,64,40,1791,1809
7,Buccaneers,1,Browns,26,23,456,4,305,1,35,59,1999,1601
7,Colts,1,Bills,37,5,376,0,303,5,65,114,2263,1827
7,Texans,0,Jaguars,20,7,272,0,259,3,43,50,2019,1581
7,Saints,0,Ravens,24,23,339,1,351,0,52,54,2011,1589
7,Redskins,1,Cowboys,20,17,305,0,323,2,35,65,1855,1745
7,Rams,0,49ers,39,10,339,0,228,4,10,10,1971,1629
7,Chiefs,1,Bengals,45,10,551,1,239,1,49,58,2023,1577
7,Falcons,1,Giants,23,20,423,1,433,0,29,58,1937,1663
8,Texans,1,Dolphins,42,23,427,0,370,1,57,63,1731,1869
8,Eagles,0,Jaguars,24,18,395,2,335,1,36,45,1958,1642
8,Bears,1,Jets,24,10,395,0,207,0,50,83,1639,1961
8,Panthers,1,Ravens,36,21,386,0,325,3,60,52,1932,1668
8,Seahawks,0,Lions,28,14,413,0,331,3,90,102,2018,1582
8,Bengals,1,Buccaneers,37,34,402,0,576,4,111,32,2095,1505
8,Redskins,0,Giants,20,13,360,1,303,2,46,75,1441,2159
8,Chiefs,1,Broncos,30,23,340,1,411,2,25,45,1964,1636
8,Steelers,1,Browns,33,18,421,2,237,1,30,68,2041,1559
8,Colts,0,Raiders,42,28,461,0,347,1,77,79,2190,1410
8,Rams,1,Packers,29,27,416,0,359,1,62,59,1661,1939
8,Cardinals,1,49ers,18,15,321,2,267,0,15,10,2050,1550
8,Saints,0,Vikings,30,20,270,1,423,2,64,54,1717,1883
8,Patriots,0,Bills,25,6,387,0,333,2,33,51,1910,1690
9,49ers,1,Raiders,34,3,405,0,242,0,23,40,1714,1886
9,Steelers,0,Ravens,23,16,395,0,265,0,129,163,1557,2043
9,Panthers,1,Buccaneers,42,28,407,0,301,2,84,49,1860,1740
9,Vikings,1,Lions,24,9,283,2,209,1,86,20,1749,1851
9,Falcons,0,Redskins,38,14,491,1,366,1,55,45,1706,1894
9,Chiefs,0,Browns,37,21,499,1,388,1,103,25,2189,1411
9,Bears,0,Bills,41,9,190,1,264,4,15,66,1395,2205
9,Dolphins,1,Jets,13,6,168,0,282,4,50,147,1976,1624
9,Chargers,0,Seahawks,25,17,375,0,356,1,60,50,1945,1655
9,Texans,0,Broncos,19,17,290,0,348,1,105,83,1459,2141
9,Saints,1,Rams,45,35,487,1,483,1,20,32,2021,1579
9,Patriots,1,Packers,31,17,433,0,367,1,30,63,1646,1954
9,Titans,0,Cowboys,28,14,340,2,297,2,20,52,2066,1534
10,Steelers,1,Panthers,52,21,457,0,242,2,24,42,1835,1765
10,Redskins,0,Buccaneers,16,3,286,0,501,4,5,26,2386,1214
10,Bears,1,Lions,34,22,402,0,305,3,38,5,1717,1883
10,Saints,0,Bengals,51,14,509,0,284,2,46,41,1680,1920
10,Chiefs,1,Cardinals,26,14,330,0,260,2,63,30,1693,1907
10,Browns,1,Falcons,28,16,427,1,382,2,35,31,1977,1623
10,Colts,1,Jaguars,29,26,366,1,415,1,52,50,1728,1872
10,Titans,1,Patriots,34,10,385,0,284,0,30,10,2362,1238
10,Bills,0,Jets,41,10,451,0,199,2,45,61,1490,2110
10,Chargers,0,Raiders,20,6,335,1,317,1,70,55,1730,1870
10,Packers,1,Dolphins,31,12,377,1,294,2,102,56,1763,1837
10,Rams,1,Seahawks,36,31,456,0,414,1,45,10,1672,1928
10,Cowboys,0,Eagles,27,20,410,0,421,1,37,0,2002,1598
10,Giants,0,49ers,27,23,277,0,374,2,78,97,1546,2054
11,Seahawks,1,Packers,27,24,378,1,359,0,30,80,2058,1542
11,Colts,1,Titans,38,10,397,0,267,2,31,58,2289,1311
11,Texans,0,Redskins,23,21,320,3,278,2,20,15,1917,1683
11,Steelers,0,Jaguars,20,16,323,3,243,1,60,40,1673,1927
11,Lions,1,Panthers,20,19,309,0,387,1,15,111,1340,2260
11,Ravens,1,Bengals,24,21,403,1,255,0,40,43,1743,1857
11,Giants,1,Buccaneers,38,35,359,0,510,4,60,112,1876,1724
11,Cowboys,0,Falcons,22,19,323,0,354,1,5,15,1900,1700
11,Broncos,0,Chargers,23,22,325,0,479,2,43,120,1331,2269
11,Raiders,0,Cardinals,23,21,325,0,282,2,20,62,2161,1439
11,Saints,1,Eagles,48,7,546,0,196,3,69,49,2254,1346
11,Bears,1,Vikings,25,20,308,3,268,3,46,50,2069,1531
11,Rams,1,Chiefs,54,51,455,2,546,5,60,135,1823,1777
12,Bears,0,Lions,23,16,264,1,333,2,20,54,1634,1966
12,Cowboys,1,Redskins,31,23,404,0,331,3,30,25,2003,1597
12,Saints,1,Falcons,31,17,312,1,366,4,19,26,1741,1859
12,Browns,0,Bengals,35,20,342,0,372,2,61,96,1924,1676
12,Eagles,1,Giants,25,22,341,0,402,1,70,68,2049,1551
12,Ravens,1,Raiders,34,17,416,2,249,1,80,90,1638,1962
12,Patriots,0,Jets,27,13,498,0,338,1,45,24,2052,1548
12,Bills,1,Jaguars,24,21,327,0,333,2,36,30,1826,1774
12,Buccaneers,1,49ers,27,9,412,0,342,2,105,47,2066,1534
12,Seahawks,0,Panthers,30,27,397,0,476,1,46,91,1958,1642
12,Chargers,1,Cardinals,45,10,414,1,149,1,30,35,2118,1482
12,Broncos,1,Steelers,24,17,308,0,527,4,52,75,1914,1686
12,Colts,1,Dolphins,27,24,455,3,314,1,50,34,1500,2100
12,Vikings,1,Packers,24,17,416,0,254,1,55,20,2077,1523
12,Texans,1,Titans,34,17,462,0,365,1,53,50,1798,1802
13,Cowboys,1,Saints,13,10,308,2,176,1,80,48,2213,1387
13,Dolphins,1,Bills,21,17,175,1,415,3,88,82,2379,1221
13,Giants,1,Bears,30,27,338,1,376,3,69,104,1794,1806
13,Buccaneers,1,Panthers,24,17,315,1,444,4,107,58,1993,2038
13,Texans,1,Browns,29,13,384,0,428,4,89,120,1623,1977
13,Broncos,0,Bengals,24,10,361,1,313,3,74,65,1773,1827
13,Rams,0,Lions,30,16,344,2,310,2,77,45,2255,1345
13,Cardinals,0,Packers,20,17,315,0,325,0,60,100,1720,1880
13,Ravens,0,Falcons,26,16,366,1,131,1,105,54,1696,1904
13,Jaguars,1,Colts,6,0,211,1,265,2,49,43,1654,1946
13,Chiefs,0,Raiders,40,33,469,1,442,3,94,74,1754,1846
13,Titans,1,Jets,26,22,403,1,280,1,75,96,1598,2002
13,Seahawks,1,49ers,43,16,331,0,452,3,100,128,1650,1950
13,Patriots,1,Vikings,24,10,471,1,278,2,60,55,2001,1599
13,Chargers,0,Steelers,33,30,371,0,336,1,80,59,1872,1728
13,Eagles,1,Redskins,28,13,436,1,235,1,38,69,2359,1241
14,Titans,1,Jaguars,30,9,426,1,255,1,30,67,1760,1840
14,Colts,0,Texans,24,21,436,1,315,0,93,47,1573,2027
14,Chiefs,1,Ravens,27,24,442,1,321,1,18,135,1809,1791
14,Saints,0,Buccaneers,28,14,298,2,279,1,51,84,1913,1687
14,Jets,0,Bills,27,23,248,2,368,3,81,30,1486,2114
14,Giants,0,Redskins,40,16,402,1,288,3,53,112,2220,1887
14,Browns,1,Panthers,26,20,348,2,393,1,59,35,1683,1917
14,Packers,1,Falcons,34,20,300,0,344,2,37,101,1751,1849
14,Dolphins,1,Patriots,34,33,412,0,421,0,52,68,1570,2030
14,49ers,1,Broncos,20,14,389,1,274,0,87,62,1841,1759
14,Chargers,1,Bengals,26,21,288,0,295,0,38,34,1642,1958
14,Cowboys,1,Eagles,29,23,576,3,256,1,68,83,1696,1904
14,Raiders,1,Steelers,24,21,354,1,340,1,130,14,1956,1644
14,Lions,0,Cardinals,17,3,218,1,279,1,110,49,2733,1352
14,Bears,1,Rams,15,6,294,3,214,4,45,57,2209,1391
14,Seahawks,1,Vikings,21,7,274,1,276,1,45,51,1909,1691
15,Chargers,0,Chiefs,29,28,407,2,294,0,50,66,1996,1604
15,Texans,0,Jets,29,22,286,0,318,1,43,60,1496,2104
15,Browns,0,Broncos,17,16,309,2,270,2,75,51,1638,1962
15,Ravens,1,Buccaneers,20,12,370,2,241,1,24,48,1823,1777
15,Falcons,1,Cardinals,40,14,435,0,253,3,20,81,1866,1734
15,Vikings,1,Dolphins,41,17,418,1,193,0,70,58,2230,1370
15,Colts,1,Cowboys,23,0,370,1,292,1,50,75,1840,1760
15,Bills,1,Lions,14,13,312,0,313,0,85,90,1999,1601
15,Titans,0,Giants,17,0,301,0,260,2,35,58,2121,1479
15,Bears,1,Packers,24,17,332,1,323,1,45,49,1996,1604
15,Redskins,0,Jaguars,16,13,245,0,192,2,48,55,1986,1614
15,Bengals,1,Raiders,30,16,294,1,297,2,55,74,1908,1692
15,49ers,1,Seahawks,26,23,351,1,385,0,66,148,1780,2234
15,Steelers,1,Patriots,17,10,376,2,368,1,40,106,1849,1751
15,Eagles,0,Rams,30,23,381,1,407,3,49,50,1896,1704
15,Saints,0,Panthers,12,9,346,2,247,2,80,48,2109,1491
16,Titans,1,Redskins,25,16,291,0,292,2,10,49,1617,1983
16,Ravens,0,Chargers,22,10,361,1,198,3,40,69,1885,1715
16,Eagles,1,Texans,32,30,519,3,371,1,57,15,2131,1469
16,Jaguars,0,Dolphins,17,7,244,1,183,2,67,72,1481,2119
16,Browns,1,Bengals,26,18,493,0,209,0,78,55,1712,1888
16,Falcons,0,Panthers,24,10,427,2,436,4,49,29,2138,1462
16,Packers,0,Jets,44,38,540,1,370,0,86,172,2059,1758
16,Colts,1,Giants,28,27,402,1,392,1,105,61,2025,1575
16,Cowboys,1,Buccaneers,27,20,232,0,383,2,41,86,1351,2249
16,Vikings,0,Lions,27,9,340,0,223,0,29,24,1699,1901
16,Patriots,1,Bills,24,12,390,3,289,3,97,95,2085,1515
16,Bears,0,49ers,14,9,325,2,279,1,66,54,2224,1376
16,Rams,0,Cardinals,31,9,461,1,263,0,30,45,2130,1470
16,Saints,1,Steelers,31,28,370,1,429,2,91,79,1720,1880
16,Seahawks,1,Chiefs,38,31,464,0,419,2,20,76,2102,1498
16,Raiders,1,Broncos,27,14,273,0,300,2,50,91,1808,1792
17,Cowboys,0,Giants,36,35,419,1,441,2,24,35,1818,1782
17,Lions,0,Packers,31,0,402,0,175,1,85,30,2086,1514
17,Panthers,0,Saints,33,14,374,0,294,1,46,78,1852,1748
17,Patriots,1,Jets,38,3,375,0,239,3,10,94,2006,1594
17,Bills,1,Dolphins,42,17,381,1,225,4,30,30,1933,1667
17,Texans,1,Jaguars,20,3,342,1,119,2,15,68,2107,1493
17,Falcons,0,Buccaneers,34,32,489,1,433,1,34,38,2214,1386
17,Chiefs,1,Raiders,35,3,409,1,292,4,25,15,2599,1001
17,Chargers,0,Broncos,23,9,276,4,370,4,51,99,1692,1908
17,Eagles,0,Redskins,24,0,360,1,89,1,50,22,1564,2036
17,Bears,0,Vikings,24,10,332,0,164,0,102,30,2228,1372
17,Seahawks,1,Cardinals,27,24,291,1,198,2,65,35,2310,1290
17,Steelers,1,Bengals,16,13,343,1,196,0,57,41,1910,1690
17,Rams,1,49ers,48,32,377,0,391,4,70,85,2062,1538
17,Ravens,1,Browns,26,24,463,1,426,3,10,20,1749,1851
17,Colts,0,Titans,33,17,436,2,258,3,96,75,2413,1187
